id,log_uuid,application_no,source,live_b64(live image base 64),kyc_avlb(KYC image available),f_match(face match),f_score (img match score),f_remarks,completed,completed_on,created_on,live_img_aqc,date_of_application,request_id
359531,046a059a-4da2-4c03-b727-053e8ce65b76,1.21007E+12,H Bank Online,279685221,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/7/2022 15:44,14:54.1,FALSE,1/7/2022,cbbcf569-c66b-47c5-a218-7337cb6d55bb
359576,db156f14-f0ef-449b-8eb3-253cd43bad1c,1.20007E+12,Online,,NULL,NULL,NULL,Live Image not found,Images not available,1/7/2022 16:27,57:21.7,NULL,1/7/2022,28b5166b-b153-42c8-8f83-273e50b14e9f
359577,55859bbe-3a94-420e-964d-dff355f54b86,1.89007E+12,Online,,NULL,NULL,NULL,Live Image not found,Images not available,1/7/2022 16:27,57:21.7,NULL,1/7/2022,28b5166b-b153-42c8-8f83-273e50b14e9f
359578,86ade908-25dc-4701-aeaf-42c9e5bb28e4,1.43007E+12,Online,,NULL,NULL,NULL,Live Image not found,Images not available,1/7/2022 16:27,57:21.7,NULL,1/7/2022,28b5166b-b153-42c8-8f83-273e50b14e9f
366287,ea5b50e8-4a02-4f32-b274-aad6d2699c9b,1.21007E+12,H Bank Online,279685221,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/10/2022 14:22,52:06.3,FALSE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366292,4b0c25e8-acc5-4a6c-a6bd-17831bc0a9d4,1.30637E+12,HDFC Sales,287286656,TRUE,TRUE,0.99127406,Match,Match,1/10/2022 14:22,52:12.9,TRUE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366293,b8825b4f-8ad5-4d8b-b17d-fbb2d2b4455f,1.10007E+12,HDFC Bank,287204855,TRUE,TRUE,0.96839106,Match,Match,1/10/2022 14:22,52:21.7,TRUE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366294,b75311a5-d38b-4d1d-a058-149df7d3f7de,1.32453E+12,Direct,287218250,TRUE,TRUE,0.9782322,Match,Match,1/10/2022 14:22,52:33.2,TRUE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366295,701407ea-b938-42f3-a94e-d07b93410870,1.35281E+12,Broca,287241476,NULL,NULL,NULL,Not Eligible to Match (Quality Check Failure),Live image failed AQC,1/10/2022 14:22,52:34.6,FALSE,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
366296,36cd95ab-5614-40e4-aaf0-3780152621da,1.36395E+12,Agency,,NULL,NULL,NULL,Live Image not found,Images not available,1/10/2022 14:22,52:34.6,NULL,1/10/2022,e92d5516-2bdd-4197-bee9-ac39e7e6de6c
